Appearance
   CLEAR MOBILE LIQUID
 Yellow to brown green liquid 
Water white liquid
 Pale yellow to yellow orange liquid 
Colourless to pale yellow liquid
 CLEAR PALE YELLOW LIQUID 
powder
 Clear orange liquid 
Colourless clear liquid
 Crystalline powder. 
 CLEAR PALE YELLOW 
Red to brown liquid
A clear pale yellow to yellow liquid
OFF WHITE COLOURED POWDER
 Transparent liquid. 
 Colourless to pale blue liquid
CLEAR OIL
     Colourless to pale yellow liquid
Clear Liquid

 Colorless to pale yellow liquid  
CLEAR LIQUID
 Yellow to brown green
 Pale yellow liquid
  Clear   
 Viscous Liquid
Colourless to light yellow liquid
  Liquid
 Solid in various shapes. Powder. Grains. Scales
CLEAR MOBILE LIQUID
" clear, liquid"
Clear liquid
CLEAR VERY PALE YELLOW LIQUID
Clear pale straw coloured liquid
Pale yellow liquid
Very pale yellow liquid
"Oil, clear"
Yellow to brown green liquid
 20°C : Powder
Pale yellow to Orange liquid
Transparent liquid
 CLEAR MOBILE LIQUID 
"Clear, almost colourless liquid"
 Clear pale yellow to light brown liquid 
White viscous liquid
COLOURLESS LIQUID
CLEAR COLOURLESS LIQUID
 Yellow to Orange
COLOURLESS TO PALE YELLOW LIQUID
COLORLESS TO PALE YELLOW LIQUID 
" Form: clear, liquid"
 Mobile liquid 
 CLEAR PALE STRAW LIQUID 
Fluid
"CLEAR, PALE STRAW COLOURED LIQUID"
A clear pale to golden yellow liquid
 OFF WHITE/BROWN FREE FLOWING POWDER 
 Clear very pale yellow liquid 
Ground Sea Salt
Crystals
          Colourless to pale yellow liquid
Pale yellow to yellow liquid
CLEAR PALE YELLOW LIQUID
 Clear colourless liquid 
 CLEAR PALE YELLOW TO LIGHT BROWN LIQUID 
 CLEAR MOBILE LIQUID
 Dark orange liquid 
 liquid
 Transparent yellow to orange colored  liquid
 Pale yellow to yellow liquid 
  Ground Sea Salt
Liquid  or  Semi-solid
Liquid                              
 Pale yellow liquid 
 Clear pale yellow liquid 
Water white to pale yellow liquid
Clear Colourless to Pale Yellow Liquid
" Clear, colourless to pale yellow liquid"
 Yellow to orange colored transparent  liquid
 PALE YELLOW COLOURED LIQUID 
 MOBILE LIQUID WAXES  POSSIBLE
 Liquid    
CLEAR STRAW LIQUID
 Colourless to pale blue liquid 
Powder
"  YELLOW LIQUID, SOMETIMES LIGHT PALE BLUE LIQUID (VERY FRESH OIL)"
 Pale yellow liquid. 
Pow der  or  Crystals
 Yellow liquid 
 20°C : Liquid
liquid 
 COLORLESS TO PALE YELLOW
 clear liquid 
BROWN COLOURED CLEAR LIQUID
COLOURLESS CLEAR LIQUID
