 SERIES, DATE OF LISTING, ISIN NUMBER
EQ,01-DEC-1997,INE112A01023
EQ,25-MAY-1995,INE757A01017
EQ,22-JAN-2009,INE695B01025
EQ,11-DEC-2009,INE008I01026
EQ,20-DEC-2000,INE230B01021
EQ,23-AUG-2018,INE741K01010
EQ,27-DEC-2006,INE559D01011
EQ,28-JUN-1995,INE007A01025
EQ,13-MAY-2016,INE299U01018
EQ,07-FEB-2007,INE627H01017
EQ,25-AUG-1998,INE491A01021
EQ,24-APR-1996,INE144D01012
EQ,29-MAR-1995,INE298A01020
EQ,16-SEP-2016,INE509F01011
BE,30-MAY-2000,INE117B01012
EQ,10-JUN-2005,INE278G01037
EQ,27-JAN-1999,INE214A01019
EQ,30-SEP-1998,INE136B01020
EQ,18-DEC-2006,INE818H01020
EQ,28-APR-1999,INE016A01026
EQ,22-JAN-2019,INE00R701025
EQ,17-JAN-1996,INE495A01022
EQ,04-JUL-2016,INE497D01022
EQ,07-MAY-2004,INE365B01017
EQ,06-JAN-2010,INE950I01011
EQ,11-AUG-2016,INE917M01012
BE,24-FEB-2010,INE879I01012
EQ,29-FEB-2012,INE921B01025
EQ,21-SEP-2017,INE385W01011
EQ,27-OCT-2006,INE503A01015
EQ,29-MAR-1995,INE498A01018
EQ,21-MAY-1997,INE891B01012
EQ,12-APR-1995,INE499A01024
EQ,25-MAY-1995,INE500A01029
EQ,02-AUG-2007,INE583C01021
EQ,17-JAN-2003,INE501A01019
EQ,29-SEP-2010,INE288B01029
EQ,09-MAR-2010,INE677H01012
EQ,02-NOV-2007,INE124G01033
EQ,18-OCT-1995,INE393A01011
EQ,24-NOV-2009,INE947J01015
EQ,15-JAN-1997,INE077A01010
EQ,07-AUG-1997,INE244A01016
EQ,29-DEC-2016,INE456C01020
EQ,29-MAR-1995,INE041A01016
EQ,01-APR-2004,INE680A01011
EQ,29-JUN-2011,INE435G01025
EQ,22-MAY-1996,INE988C01014
EQ,01-OCT-2002,INE202B01012
EQ,18-MAR-2011,INE320L01011
EQ,05-OCT-2017,INE393P01035
BZ,29-SEP-2010,INE989C01012
EQ,30-AUG-1995,INE303A01010
EQ,13-JUL-2016,INE731U01010
EQ,18-APR-2007,INE836F01026
EQ,12-MAR-2003,INE361B01024
EQ,18-SEP-2017,INE935N01012
EQ,05-JUL-2007,INE271C01023
EQ,18-DEC-2009,INE250K01012
EQ,21-MAR-2017,INE192R01011
BE,11-DEC-2017,INE016M01021
EQ,21-APR-2017,INE325C01035
EQ,06-OCT-2006,INE920A01011
EQ,20-DEC-2006,INE668D01028
EQ,21-APR-2008,INE360C01024
EQ,20-JUN-2011,INE656K01010
EQ,15-JAN-2004,INE506A01018
EQ,30-MAY-2003,INE089A01023
EQ,01-DEC-2011,INE417B01040
EQ,20-JAN-2015,INE341R01014
EQ,09-OCT-2012,INE741L01018
EQ,11-JAN-2008,INE477B01010
EQ,31-DEC-2004,INE366A01041
EQ,14-SEP-2006,INE221B01012
EQ,19-JUL-2017,INE256H01015
BE,03-JUL-1996,INE962C01027
EQ,23-JUL-1997,INE268C01029
EQ,24-SEP-2007,INE588B01014
EQ,31-DEC-2007,INE738I01010
EQ,12-DEC-2007,INE532F01054
EQ,26-NOV-2007,INE180G01019
BZ,13-JAN-2006,INE216H01027
EQ,07-SEP-2004,INE066A01013
EQ,10-MAY-1995,INE126A01031
EQ,08-APR-2008,INE276C01014
EQ,08-FEB-1995,INE230A01023
EQ,17-APR-1996,INE158B01016
EQ,15-DEC-2005,INE184H01027
EQ,09-MAR-2007,INE311H01018
EQ,29-SEP-2006,INE205B01023
EQ,20-JUN-2003,INE086A01029
EQ,20-AUG-2007,INE822G01016
EQ,22-NOV-1995,INE285A01027
EQ,10-AUG-2011,INE819L01012
EQ,03-AUG-2006,INE548C01032
EQ,28-JUL-2010,INE778K01012
EQ,15-DEC-2005,INE078A01026
EQ,28-APR-2006,INE296H01011
EQ,24-FEB-2010,INE753K01015
EQ,19-OCT-2016,INE913H01037
EQ,02-NOV-2007,INE306C01019
EQ,20-AUG-1997,INE510A01028
EQ,15-FEB-2006,INE265F01028
EQ,07-JUN-2012,INE076H01025
EQ,21-APR-2016,INE988K01017
EQ,29-JUN-2017,INE406M01024
EQ,06-OCT-2010,INE416L01017
EQ,01-NOV-1995,INE284A01012
EQ,01-MAR-1995,INE042A01014
EQ,15-NOV-2011,INE122M01019
EQ,28-DEC-2006,INE825H01017
EQ,11-FEB-2002,INE255A01020
EQ,20-JUN-2011,INE778B01029
BE,09-MAR-2007,INE649H01011
BE,15-OCT-2009,INE063J01011
EQ,31-JAN-1996,INE022C01012
EQ,27-APR-2005,INE128A01029
EQ,29-MAR-1995,INE295A01018
EQ,03-AUG-2009,INE688J01015
EQ,16-JUN-2004,INE223G01017
EQ,16-JUN-2004,INE369A01029
EQ,17-JUN-2003,INE302A01020
EQ,12-APR-1995,INE188A01015
EQ,08-MAY-2015,INE959A01019
EQ,15-JAN-2015,INE045J01026
EQ,04-JUL-2013,INE220J01025
