 SERIES, DATE OF LISTING, ISIN NUMBER
EQ,27-AUG-2007,INE142I01023
EQ,29-SEP-2006,INE187D01011
EQ,10-MAY-2010,INE502K01016
EQ,29-JUN-2018,INE627Z01019
EQ,05-JAN-2007,INE483C01032
BE,19-FEB-2008,INE388G01018
BE,06-DEC-2012,INE799L01016
EQ,18-MAY-2010,INE747K01017
EQ,09-JUL-2007,INE924H01018
EQ,23-MAR-2017,INE488B01017
EQ,01-APR-1999,INE092A01019
EQ,16-FEB-2000,INE493A01027
EQ,12-APR-1995,INE151A01013
EQ,17-SEP-2003,INE670A01012
EQ,18-NOV-1998,INE192A01025
EQ,24-JUN-1998,INE672A01018
EQ,27-MAY-2003,INE056C01010
EQ,22-JUL-1998,INE155A01022
EQ,05-NOV-2008,IN9155A01020
EQ,03-APR-1996,INE245A01021
EQ,24-FEB-2003,INE674A01014
EQ,18-NOV-1998,INE081A01012
BE,21-NOV-2003,INE824B01021
EQ,09-MAY-2012,INE760L01018
EQ,21-JAN-2002,INE688A01022
EQ,19-APR-2011,INE662L01016
EQ,15-DEC-2016,INE586V01016
EQ,21-MAY-1997,INE911B01018
EQ,30-JUL-2018,INE778U01029
EQ,17-OCT-2017,INE822C01015
EQ,25-AUG-2004,INE467B01029
EQ,08-SEP-2011,INE419M01019
EQ,12-FEB-2016,INE985S01024
BE,08-SEP-2011,INE778A01021
EQ,28-AUG-2006,INE669C01036
EQ,04-DEC-2018,INE285K01026
EQ,16-JUL-2010,INE509K01011
EQ,27-JUN-2017,INE010J01012
EQ,29-DEC-2016,INE482B01010
EQ,09-SEP-2004,INE435C01024
EQ,10-MAR-2010,INE141K01013
EQ,03-MAR-2011,INE621L01012
EQ,26-JUL-2000,INE305A01015
EQ,26-FEB-2007,INE804H01012
EQ,17-MAY-2007,INE797H01018
EQ,19-FEB-2010,INE085J01014
EQ,02-AUG-2017,INE924D01017
EQ,02-APR-2007,INE083B01016
EQ,30-AUG-1995,INE152A01029
BE,02-MAY-1995,INE409A01015
EQ,07-JUN-2000,INE332A01027
BE,30-JAN-2012,INE480M01011
EQ,09-MAY-2016,INE594H01019
EQ,16-JUL-2010,INE133E01013
EQ,16-JAN-2007,INE484C01022
EQ,25-SEP-2017,INE149A01033
EQ,12-FEB-2007,INE545H01011
EQ,02-NOV-2017,INE974X01010
EQ,14-OCT-2011,INE440L01017
EQ,27-SEP-1995,INE806C01018
EQ,11-JUN-2002,INE289C01025
EQ,13-JUN-2007,INE508G01029
EQ,06-FEB-2007,INE325A01013
EQ,27-JAN-2006,INE422C01014
EQ,10-NOV-2000,INE716B01011
EQ,14-MAY-2003,INE338A01024
EQ,24-SEP-2004,INE280A01028
EQ,14-DEC-2016,INE759V01019
EQ,27-OCT-1999,INE148A01019
EQ,14-FEB-1996,INE107A01015
BE,04-FEB-2003,INE141D01018
EQ,11-OCT-1995,INE932C01012
EQ,25-NOV-2002,INE685A01028
EQ,28-NOV-2006,INE813H01021
EQ,20-MAY-2015,INE413G01014
EQ,26-AUG-2011,INE040M01013
EQ,28-DEC-2018,INE00CA01015
EQ,07-JUN-2004,INE849A01020
EQ,26-MAR-2010,INE391D01019
EQ,21-FEB-2001,INE064C01014
EQ,09-APR-1998,INE948A01012
EQ,28-DEC-2007,INE763I01026
EQ,28-OCT-2011,INE152M01016
EQ,13-DEC-2005,INE256C01024
EQ,02-DEC-2015,INE910C01018
EQ,22-DEC-1999,INE690A01010
EQ,22-FEB-2007,INE592B01016
EQ,20-OCT-2000,INE517B01013
EQ,08-FEB-2007,INE886H01027
EQ,26-DEC-2003,INE236G01019
EQ,02-AUG-2000,INE494B01023
EQ,13-FEB-2007,INE421C01016
EQ,16-JAN-2004,INE038F01029
EQ,15-SEP-2016,INE871L01013
EQ,21-APR-2008,INE615H01020
EQ,28-JUL-2008,INE686F01025
EQ,13-SEP-1995,INE139B01016
EQ,09-OCT-2003,INE691A01018
EQ,23-AUG-1995,INE516A01017
EQ,14-MAY-2015,INE527H01019
EQ,23-AUG-2010,INE071E01023
EQ,20-OCT-2011,INE899L01022
EQ,10-MAY-2016,INE334L01012
EQ,24-AUG-2004,INE481G01011
EQ,02-DEC-2015,INE864B01027
EQ,12-JUL-2010,INE240C01028
EQ,07-FEB-2001,INE351A01035
EQ,23-JAN-2004,INE037A01022
EQ,24-SEP-2002,INE692A01016
EQ,08-MAR-2007,INE950G01023
BE,08-SEP-1999,INE694A01020
EQ,18-MAR-2010,INE695A01019
EQ,28-JAN-2015,INE458F01011
BZ,12-JUN-2006,INE466H01028
EQ,17-MAY-1995,INE279A01012
EQ,23-JAN-2004,INE628A01036
EQ,28-MAR-2017,INE550C01020
EQ,11-OCT-2000,INE228A01035
BE,30-JUL-2010,INE235G01011
EQ,25-MAY-1995,INE699A01011
EQ,10-APR-2006,INE786F01031
BE,24-JUN-2016,INE292A01023
EQ,04-JUL-2007,INE945H01013
EQ,15-JUN-2011,INE694D01016
EQ,05-APR-2004,INE884A01019
EQ,03-APR-2006,INE051B01021
EQ,30-SEP-2003,INE116G01013
EQ,12-MAY-2003,INE835A01011
EQ,06-JUL-2018,INE665L01035
EQ,15-FEB-2010,INE893I01013
EQ,20-SEP-2011,INE590L01019
EQ,08-NOV-2016,INE200M01013
EQ,13-MAY-1998,INE205A01025
EQ,28-JUL-2003,INE398A01010
EQ,20-DEC-2006,INE411B01019
EQ,04-OCT-2002,INE386A01015
EQ,29-APR-2015,INE918N01018
EQ,13-MAR-2008,INE951I01027
EQ,30-JUN-2005,INE701A01023
BE,21-AUG-2007,INE048C01017
BZ,31-JUL-1996,INE703A01011
EQ,02-MAR-2016,INE632C01026
EQ,10-JAN-2001,INE705A01016
EQ,11-JUL-2016,INE159N01027
BE,21-MAY-2008,INE806F01011
EQ,12-DEC-2011,INE806A01020
BE,21-MAY-2013,INE067D01015
EQ,15-DEC-2005,INE579C01029
EQ,28-JUL-2009,INE410B01029
EQ,08-FEB-1995,INE707A01012
EQ,21-JUL-2008,INE250B01029
EQ,06-AUG-2007,INE450G01024
EQ,02-MAR-2005,INE054A01027
BE,23-APR-2015,INE946H01037
EQ,28-AUG-1996,INE392A01013
EQ,17-MAR-2006,INE286H01012
BE,14-JAN-2000,INE861A01058
EQ,05-MAR-2015,INE270I01014
EQ,21-MAY-2013,INE370E01029
EQ,17-AUG-2005,INE526G01021
EQ,25-MAY-1995,INE709A01018
EQ,20-FEB-2013,INE665J01013
EQ,20-SEP-2006,INE540H01012
EQ,12-APR-1995,INE226A01021
EQ,30-APR-2015,INE366I01010
EQ,17-MAY-2012,INE050M01012
EQ,05-SEP-2003,INE710A01016
EQ,20-JUN-2011,INE764D01017
EQ,14-JAN-2003,INE825A01012
EQ,13-OCT-2010,INE956G01038
EQ,01-OCT-2008,INE342J01019
EQ,18-SEP-1996,INE711A01022
BE,29-JAN-2007,INE107F01022
EQ,15-MAY-2007,INE855C01015
EQ,28-JUN-2011,INE726L01019
EQ,10-MAY-1995,INE080A01014
EQ,24-MAY-2005,INE191B01025
EQ,04-NOV-2004,INE625G01013
EQ,20-SEP-2010,INE389K01018
EQ,04-DEC-2003,INE192B01031
EQ,07-AUG-2006,INE274C01019
EQ,07-APR-2000,INE715A01015
EQ,06-APR-2010,INE716A01013
EQ,08-FEB-1995,INE210A01017
EQ,17-AUG-2011,INE052A01021
BE,25-AUG-2011,INE784B01035
BE,17-APR-2017,INE215F01023
EQ,08-NOV-1995,INE075A01022
EQ,23-FEB-2000,INE049B01025
EQ,09-MAY-2014,INE066O01014
BE,01-AUG-2007,INE100D01014
EQ,17-JAN-2001,INE976A01021
EQ,09-MAR-2005,INE692G01013
EQ,04-FEB-2019,INE01P501012
BE,28-DEC-2006,INE183H01011
EQ,27-APR-2004,INE445C01015
EQ,12-JUL-2005,INE528G01027
EQ,09-SEP-1998,INE256A01028
EQ,20-DEC-2010,INE565L01011
EQ,10-JAN-2007,INE966H01019
BE,30-APR-2007,INE318D01020
EQ,10-JUL-1996,INE058B01018
EQ,09-JUL-2003,INE520A01027
EQ,30-MAR-2015,INE251B01027
EQ,18-APR-2006,INE871B01014
EQ,27-SEP-1995,INE206B01013
EQ,19-JUL-1995,INE077B01018
EQ,27-NOV-2012,INE840M01016
EQ,12-APR-1995,INE217A01012
EQ,13-NOV-2009,INE768C01010
