SYMBOL,NAME OF COMPANY, PAID UP VALUE, MARKET LOT, FACE VALUE
BANDHANBNK,Bandhan Bank Limited,10,1,10
BANG,Bang Overseas Limited,10,1,10
BANKBARODA,Bank of Baroda,2,1,2
BANKINDIA,Bank of India,10,1,10
BANSWRAS,Banswara Syntex Limited,10,1,10
BARTRONICS,Bartronics India Limited,10,1,10
BASF,BASF India Limited,10,1,10
BASML,Bannari Amman Spinning Mills Limited,10,1,10
BATAINDIA,Bata India Limited,5,1,5
BAYERCROP,Bayer Cropscience Limited,10,1,10
BBL,Bharat Bijlee Limited,10,1,10
BBTC,Bombay Burmah Trading Corporation Limited,2,1,2
BCG,Brightcom Group Limited,2,1,2
BDL,Bharat Dynamics Limited,10,1,10
BEARDSELL,Beardsell Limited,2,1,2
BEDMUTHA,Bedmutha Industries Limited,10,1,10
BEL,Bharat Electronics Limited,1,1,1
BEML,BEML Limited,10,1,10
BEPL,Bhansali Engineering Polymers Limited,1,1,1
BERGEPAINT,Berger Paints (I) Limited,1,1,1
BFINVEST,BF Investment Limited,5,1,5
BFUTILITIE,BF Utilities Limited,5,1,5
BGLOBAL,Bharatiya Global Infomedia Limited,10,1,10
BGRENERGY,BGR Energy Systems Limited,10,1,10
BHAGERIA,Bhageria Industries Limited,5,1,5
BHAGYANGR,Bhagyanagar India Limited,2,1,2
BHAGYAPROP,Bhagyanagar Properties Limited,2,1,2
BHANDARI,Bhandari Hosiery Exports Limited,1,1,1
BHARATFIN,Bharat Financial Inclusion Limited,10,1,10
BHARATFORG,Bharat Forge Limited,2,1,2
BHARATGEAR,Bharat Gears Limited,10,1,10
BHARATRAS,Bharat Rasayan Limited,10,1,10
BHARATWIRE,Bharat Wire Ropes Limited,10,1,10
BHARTIARTL,Bharti Airtel Limited,5,1,5
BHEL,Bharat Heavy Electricals Limited,2,1,2
BIGBLOC,Bigbloc Construction Limited,10,1,10
BIL,Bhartiya International Limited,10,1,10
BILENERGY,Bil Energy Systems Limited,1,1,1
BINANIIND,Binani Industries Limited,10,1,10
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,10,1,10
BIOCON,Biocon Limited,5,1,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,10,1,10
BIRLACABLE,Birla Cable Limited,10,1,10
BIRLACORPN,Birla Corporation Limited,10,1,10
BIRLAMONEY,Aditya Birla Money Limited,1,1,1
BKMINDST,Bkm Industries Limited,1,1,1
BLBLIMITED,BLB Limited,1,1,1
BLISSGVS,Bliss GVS Pharma Limited,1,1,1
BLKASHYAP,B. L. Kashyap and Sons Limited,1,1,1
BLS,BLS International Services Limited,1,1,1
BLUEBLENDS,Blue Blends (I) Limited,10,1,10
BLUECOAST,Blue Coast Hotels Limited,10,1,10
BLUEDART,Blue Dart Express Limited,10,1,10
BLUESTARCO,Blue Star Limited,2,1,2
BODALCHEM,Bodal Chemicals Limited,2,1,2
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2,1,2
BOROSIL,Borosil Glass Works Limited,1,1,1
BOSCHLTD,Bosch Limited,10,1,10
BPCL,Bharat Petroleum Corporation Limited,10,1,10
BPL,BPL Limited,10,1,10
BRFL,Bombay Rayon Fashions Limited,10,1,10
BRIGADE,Brigade Enterprises Limited,10,1,10
BRITANNIA,Britannia Industries Limited,1,1,1
BRNL,Bharat Road Network Limited,10,1,10
BROOKS,Brooks Laboratories Limited,10,1,10
BSE,BSE Limited,2,1,2
BSELINFRA,BSEL Infrastructure Realty Limited,10,1,10
BSL,BSL Limited,10,1,10
BURNPUR,Burnpur Cement Limited,10,1,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,10,1,10
BVCL,Barak Valley Cements Limited,10,1,10
