SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL
Fedders Electric and Engineering Limited,FEDDERLOYD,FEDDERELEC
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD
Flextronics Software Systems Limited,HUGHESSOFT,FSS
Fresenius Kabi Oncology Limited,DABURPHARM,FKONCO
Future Consumer Limited,FVIL,FCEL
Future Consumer Limited,FCEL,FCONSUMER
Future Enterprises Limited,PRETAILDVR,FRLDVR
Future Enterprises Limited,PANTALOONR,FRL
Future Enterprises Limited,FRL,FEL
Future Enterprises Limited,FRLDVR,FELDVR
Future Market Networks Limited,AGRE,FMNL
GE Power India Limited,ABBALPO,APIL
GE Power India Limited,APIL,AIL
GE Power India Limited,AIL,GEPIL
GE T&D India Limited,GECALSTHOM,AREVA
GE T&D India Limited,AREVA,AREVAT&D
GE T&D India Limited,AREVAT&D,ALSTOMT&D
GE T&D India Limited,ALSTOMT&D,GET&D
GMR Industries Limited,GMRVASAVI,GMRINDSTRS
GOCL Corporation Limited,GULFCORP,GOCLCORP
GP Petroleums Limited,SAHPETRO,GULFPETRO
GSL Nova Petrochemicals Limited,NOVA,GSLNOVA
GSS Infotech Limited,GSSAMERICA,GSS
GTL Limited,GLOBALTELE,GTL
GTN Industries Limited,GTNTEXT,GTNIND
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC
Garware Technical Fibres Limited,GARWALLROP,GARFIBRES
GeeCee Ventures Limited,GWALCHEM,GEECEE
Genus Power Infrastructures Limited,GENUSOVERE,GENUSPOWER
Geodesic Limited,GEOINFO,GEODESIC
Geojit Financial Services Limited,GEOJIT,GEOJITBNPP
Geojit Financial Services Limited,GEOJITBNPP,GEOJITFSL
Gillette India Limited,INDSHAVING,GILLETTE
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS
Global Offshore Services Limited,GARWOFFS,GLOBOFFS
Glodyne Technoserve Limited,PARADYNE,GLODYNE
Golden Tobacco Limited,GTCIND,GOLDENTOBC
Graphite India Limited,CARBEVFLOW,GRAPHITE
Greaves Cotton Limited,GREAVES,GREAVESCOT
Greenply Industries Limited,MITTALLAMI,GREENPLY
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND
Gujarat Apollo Industries Limited,GUJAPOLIND,GUJAPOLLO
Gulf Oil Corporation Limited,IDLCHEM,GULFOILCOR
HCL Infosystems Limited,HCL-HP,HCL-INSYS
HIL Limited,HYDRBADIND,HIL
HSBC InvestDirect (India) Limited,INVSTSMART,HINVDIR
HSIL Limited,HINDSANIT,HSIL
HeidelbergCement India Limited,MYSORECEM,HEIDELBERG
Hero MotoCorp Limited,HEROHONDA,HEROMOTOCO
Himadri Speciality Chemical Limited,HIMADCHEM,HCIL
Himadri Speciality Chemical Limited,HCIL,HSCL
Hindalco Industries Limited,HINDALC0,HINDALCO
Hinduja Foundries Limited,ENNOREFO,HINDUJAFO
Hinduja Global Solutions Limited,HTMTGLOBAL,HGSL
Hinduja Global Solutions Limited,HGSL,HGS
Hinduja TMT Limited,HINDUJAFIN,HTMT
Hinduja Ventures Limited,HINDUJATMT,HINDUJAVEN
Hindustan Construction Company Limited,HINDCONS,HCC
Hindustan Unilever Limited,HINDLEVER,HINDUNILVR
Hitech Corporation Limited,HITECHPLAS,HITECHCORP
Honda Siel Power Products Limited,SHRMHONDA,HONDAPOWER
Honeywell Automation India Limited,TATAHONEY,HONAUT
Hubtown Limited,AKRUTI,ACKRUTI
Hubtown Limited,ACKRUTI,HUBTOWN
ICICI Prudential Gold ETF,IPGETF,IGOLD
ICICI Prudential Gold ETF,IGOLD,GOLDIWIN
ICICI Prudential Gold ETF,GOLDIWIN,ICICIGOLD
ICICI Prudential MF - ICICI Prudential IF S1 - DQDP,IPRU8112,IPRU8122
ICICI Prudential Midcap Select ETF,IMIDCAP,MIDCAPIWIN
ICICI Prudential Midcap Select ETF,MIDCAPIWIN,ICICIMCAP
ICICI Prudential Mutual Fund - BHARAT 22 ETF,BHARATIWIN,ICICIB22
ICICI Prudential NV20 ETF,INV20,NV20IWIN
ICICI Prudential NV20 ETF,NV20IWIN,ICICINV20
ICICI Prudential Nifty 100 ETF,ICCNX100,ICNX100
ICICI Prudential Nifty 100 ETF,ICNX100,NIF100IWIN
ICICI Prudential Nifty 100 ETF,NIF100IWIN,ICICINF100
ICICI Prudential Nifty ETF,NIFETF,INIFTY
ICICI Prudential Nifty ETF,INIFTY,NIFTYIWIN
ICICI Prudential Nifty ETF,NIFTYIWIN,ICICINIFTY
ICICI Prudential Nifty Low Vol 30 ETF,LOWVOLIWIN,ICICILOVOL
ICICI Prudential Sensex ETF,SPICE,ISENSEX
ICICI Prudential Sensex ETF,ISENSEX,SENSEXIWIN
ICICI Prudential Sensex ETF,SENSEXIWIN,ICICISENSX
IDFC First Bank Limited,IDFCBANK,IDFCFIRSTB
IG Petrochemicals Limited,IGPETRO,IGPL
IIFL Holdings Limited,INDIAINFO,IIFL
IL&FS Engineering and Construction Company Limited,MAYTASINFR,IL&FSENGG
IL&FS Transportation Networks Limited,ILFSTRANS,IL&FSTRANS
INEOS Styrolution India Limited,ABSIND,LANABS
INEOS Styrolution India Limited,LANABS,INEABS
INEOS Styrolution India Limited,INEABS,STYABS
INEOS Styrolution India Limited,STYABS,INEOSSTYRO
ING Vysya Bank Limited,VYSYABANK,INGVYSYABK
IOL Netcom Limited,IOLB,IOLN
ITD Cementation India Limited,TRAFALHSE,ITDCEM
IVRCL Assets & Holdings Limited,IVRPRIME,IVRCLAH
IZMO Limited,LOGIXMICRO,IZMO
Igarashi Motors India Limited,CGIGARSH,IGARASHI
Indbank Merchant Banking Services Limited,INDBANKMER,INDBANK
India Infoline Finance Limited,IIISL,IIFLFIN
Indiabulls Integrated Services Limited,IBWSL,SORILHOLD
Indiabulls Integrated Services Limited,SORILHOLD,IBULISL
Indiabulls Ventures Limited,IBSEC,IBVENTURES
Indo Count Industries Limited,INDOCOUNT,ICIL
Infomedia India Limited,TATAPRESS,TATAINFO
Infosys Limited,INFOSYSTCH,INFY
Insecticides (India) Limited,IILTD,INSECTICID
Inspirisys Solutions Limited,AFL,INSPIRISYS
International Paper APPM Limited,APPAPER,IPAPPM
Invesco India Gold Exchange Traded Fund,RELIGAREGO,IVZINGOLD
Invesco India Nifty Exchange Traded Fund,RELGRNIFTY,IVZINNIFTY
Invesco MF � Invesco India AIF - Sr 1 - Pl B - DS-P-GO,RIMFAI1BDG,IVZINA1BDG
Invesco MF � Invesco India AIF - Sr 1 - Pl B - RS-P-GO,RIMFAI1BRG,IVZINA1BRG
JBM Auto Limited,JBMAUTOCOM,JBMA
JD Orgochem Limited,JAYSYNTDYE,JDORGO
JSW Holdings Limited,JINDALSWHL,JSWHL
JSW ISPAT Steel Limited,ISPATIND,JSWISPAT
JSW Steel Limited,JSWSTL,JSWSTEEL
Jai Balaji Industries Limited,BALASPONGE,JAIBALAJI
Jaiprakash Power Ventures Limited,JPHYDRO,JPPOWER
Jayaswal Neco Industries Limited,NAGPURENG,JAYNECOIND
Jindal Saw Limited,SAWPIPES,JINDALSAW
Jindal Stainless Limited,JSTAINLESS,JSL
Johnson Controls � Hitachi Air Conditioning India Limited,AMTREXAPPL,HITACHIHOM
Johnson Controls � Hitachi Air Conditioning India Limited,HITACHIHOM,JCHAC
Jtekt India Limited,SONASTEER,JTEKTINDIA
Jubilant Life Sciences Limited,VAMORGANIC,JUBILANT
KSS Limited,KSERAPRO,KSERASERA
Kalyani Steels Limited,KALYANISTL,KALSTEELS
Kamdhenu Limited,KIL,KAMDHENU
Kansai Nerolac Paints Limited,GOODLASNER,KANSAINER
Karuturi Global Limited,KNL,KGL
Kesar Enterprises Limited,KESARENTER,KESARENT
Kinetic Motor Company Limited,KINHONDA,KINETICMOT
Kingfisher Airlines Limited,AIRDECCAN,KFA
Kiri Industries Limited,KIRIDYES,KIRIINDUS
Kirloskar Electric Company Limited,KIRELECTRI,KECL
Kohinoor Foods Limited,SATNAMOVER,KOHINOOR
Kokuyo Camlin Limited,CAMLIN,KOKUYOCMLN
Kotak Mahindra Bank Limited,KOTAKMAH,KOTAKBANK
Kotak Mahindra MF - Kotak NV 20 ETF - DPO,KTKNV20ETF,KOTAKNV20
Ksb Limited,KSBPUMPS,KSB
L&T Fixed Maturity Plan Series - VI Plan F,FIFMPS6FG,LTFMPS6FG
L&T Fixed Maturity Plane Series - VI Plan E,FIFMPS6EG,LTFMPS6EG
L&T Fixed Maturiy Plan Series - VI Plan F,FIFMPS6ED,LTFMPS6ED
LEEL Electricals Limited,LLOYDELENG,LEEL
LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,LICNFENGP,LICNETFN50
LIC MF - LIC MF G-sec LT ETF - GO,LICNMFET,LICNETFGSC
LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,LICNFESGP,LICNETFSEN
Linde India Limited,IOL,BOC
Linde India Limited,BOC,LINDEINDIA
Lotte India Corporation Limited,PARRYSCON,LOTTEINDIA
MM Forgings Limited,MMFORGINGS,MMFL
MPS Limited,MACMILLAN,MPSLTD
Maan Aluminium Limited,MANALU,MAANALU
Madura Coats Limited,COATVIYELA,MADURACOAT
Mahindra CIE Automotive Limited,MAHINDFORG,MAHINDCIE
Mahindra Lifespace Developers Limited,GESCOCORP,MAHLIFE
Man Industries (India) Limited,MANALUMN,MANINDS
Marico Limited,MARICOIND,MARICO
Marksans Pharma Limited,TASCPHARMA,MARKSANS
Max Financial Services Limited,MAX,MFSL
Mercator Limited,MLL,MERCATOR
Merck Limited,EMERCK,MERCK
Metalyst Forgings Limited,AHMEDFORGE,METALFORGE
Metkore Alloys & Industries Limited,GMRFER,CRONIMET
Metkore Alloys & Industries Limited,CRONIMET,METKORE
Micro Inks Limited,HINDINKS,MICRO
Mirza International Limited,MIRZATAN,MIRZAINT
Mohota Industries Limited,RAIREKMOH,MOHOTAMILL
Mohota Industries Limited,MOHOTAMILL,MOHOTAIND
MphasiS Limited,BFLSOFTWAR,MPHASISBFL
MphasiS Limited,MPHASISBFL,MPHASIS
NACL Industries Limited,NAGAAGRI,NACLIND
NCC Limited,NAGARCONST,NCC
NLC India Limited,NEYVELILIG,NLCINDIA
Nagreeka Exports Limited,NAGREKAEXP,NAGREEKA
Nahar Poly Films Limited,NAHAREXPOT,NAHARINVST
Nahar Poly Films Limited,NAHARINVST,NAHARPOLY
Nalwa Sons Investments Limited,JSTRIPS,NSIL
Nandan Denim Limited,NANDANEXIM,NDL
Nava Bharat Ventures Limited,NAVBARFERO,NBVENTURES
Navneet Education Limited,NAVNETPUBL,NAVNETEDUL
Net 4 India Limited,NET4INDIA,NET4
Netvista Information Technology Limited,KRAFTIND,NETVISTAIT
Neueon Towers Limited,SUJANATWR,NTL
Next Mediaworks Limited,MID-DAY,NEXTMEDIA
