SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
VKJINFRA    ,0.23,0.25,0.23,0.24,0.25,0.24,46,84404,19514,
KUSHAL      ,27,28,26.1,27.3,27.3,26.9,409,176287,4789504,
TIGER LOGS  ,103,103,96.05,96.5,96.05,101.85,113,5429,537783,
JKAGRI GEN  ,680,680,660,680,680,679,10,44,29175,
FUTLIF FAS  ,427,427.2,419.5,424.65,424,425.2,64,1546,654361,
PVVINFRA    ,13.8,13.8,12.83,12.83,12.83,13.5,3,205,2744,
INDRENEW    ,19.15,19.15,17.5,17.5,17.5,18.25,5,2200,40877,
FIVEXTRADE  ,0.49,0.49,0.49,0.49,0.49,0.51,1,50,24,
JIN POLY INV,26.45,27.75,26.45,26.7,26.7,27,7,2165,58915,
SRS FINANCE ,0.19,0.19,0.19,0.19,0.19,0.19,4,1250,237,
INTEGRA TELE,14.4,14.4,14.4,14.4,14.4,14.6,2,2001,28814,
M100        ,17.5,17.5,17.05,17.05,17.05,16.95,6,691,11786,
CAPTAIN POLY,24.35,25,23.55,24.5,24.5,23.5,24,10551,259946,
ICICINIFTY  ,109.55,111.99,109.55,111.71,111.76,110.25,143,5761,639661,
ICICINF100  ,115.08,115.08,115.08,115.08,115.08,114.34,1,8,920,
ARNOLD HOLD ,15.59,15.59,14,14.89,14,15.2,69,203914,3026349,
MODEX INT   ,50.4,50.5,50.4,50.45,50.5,50,9,9050,456575,
SUNIL HEALTH,44.1,48.5,43.15,43.55,43.15,47,9,3294,148551,
RCI IND     ,77.9,85,74.05,78.65,82.9,75.5,172,23912,1839450,
SUYOG TELE  ,201.1,233,201.1,231.75,211.2,222.1,41,49539,11537475,
NATH BIOGEN ,380.5,405,377,402.65,401.7,380.65,300,4477,1775662,
AGRI TECH   ,53,53,49.5,52.15,50,48.5,11,778,40129,
VIAANINDUS  ,5.9,6.3,5.7,5.7,5.7,6,112,125549,715950,
DENIS CHEM  ,52.2,57.25,50,53.75,57.25,52,32,3460,182383,
KOTAKNIFTY  ,110.03,110.88,109.31,110.54,110.88,109.2,24,779,85672,
KIRAN VYPAR ,92.3,106.7,92.3,101.55,101.55,94.9,7,199,19907,
BCP LTD     ,39.25,40.4,37.75,38.35,38.35,38.95,969,2494209,97144797,
MANGALAM IND,0.44,0.46,0.42,0.42,0.42,0.44,17,15324,6495,
VFL         ,0.92,0.99,0.92,0.92,0.92,0.96,21,1327,1233,
RAUNAQEPC   ,69.75,73,69.75,72.45,73,73.4,2,6,434,
OBI LTD     ,21.5,21.5,21.35,21.35,21.35,22.45,29,1413,30174,
CPSE ETF    ,22.67,23.22,22.67,23.06,23.16,22.65,141,107500,2459239,
JOONKTOLLEE ,120,120,119.7,119.7,119.7,126,2,125,14965,
WOMENS NEXT ,9,9,9,9,9,9,1,2000,18000,
GOLD LINE   ,7.35,7.35,7,7,7,7,2,75,542,
WONDERLA    ,276.3,278.4,270,273.1,275.9,270.8,504,15529,4278499,
ADHUNIKIND  ,41.85,41.95,37.2,39.3,40,38.45,68,4036,158077,
JACKSON     ,0.2,0.2,0.19,0.19,0.19,0.19,4,11,2,
ALPS MOTOR  ,0.76,0.77,0.73,0.73,0.73,0.76,56,25970,19375,
CLASSIC     ,0.2,0.2,0.19,0.19,0.19,0.19,19,87326,16593,
CTL         ,2.9,2.99,2.81,2.98,2.98,2.99,28,38700,112529,
CROWNTOURS  ,23,23.5,22,23.25,23.25,23,34,9121,210862,
JTAPARIA    ,0.43,0.43,0.43,0.43,0.43,0.45,1,25,10,
SAIBABA     ,2.3,2.7,2.23,2.45,2.45,2.47,239,324307,768649,
SKIPPER     ,59.25,63,58.05,62.45,62.9,59.25,72,2785,169957,
JAMESWARREN ,104,104.4,101,101,101,100,10,197,20143,
APOLLOTRI   ,124,130,124,127.2,127,126.65,70,25356,3237999,
GULFOIL LUB ,870,875.05,870,874.5,874.5,869.05,33,359,312811,
SOLISMAR    ,0.21,0.21,0.21,0.21,0.21,0.2,6,7800,1638,
TOYAMIND    ,3.75,3.75,3.6,3.62,3.63,3.63,112,390944,1421128,
VRL         ,33.85,33.9,29.4,30.85,30.2,32.5,16,1414,44219,
SNOWMAN     ,30.1,30.1,29.6,29.65,29.75,29.85,70,12853,382396,
EML         ,4.32,4.32,4.32,4.32,4.32,4.54,16,1769,7642,
SHARDACROP  ,353.5,398,342.2,347.2,354,357.85,115,1367,482407,
ULTRACAB    ,53,53,49,49.05,49,52,17,3724,194311,
ATISHAY     ,60,61.55,58.25,61.3,61.55,61.1,21,36890,2160521,
DHABRIYA    ,67.5,70,64.15,64.15,64.15,67.5,14,1405,91710,
