SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
UTI GOLD ETF,3000.01,3012,3000.01,3009.78,3010.98,2996,32,300,902226,
NIFTY BEES  ,1120,1128.25,1111.01,1124.54,1121.63,1112.43,185,11872,13277057,
JUNIOR BEES ,263,265.48,262.85,263.86,265.18,261.55,50,2439,642333,
BANK BEES   ,2730,2751.03,2730,2738.91,2751.03,2714.4,7,36,98591,
KOTAK PSU BK,273,273,271.01,271.01,271.01,270,4,201,54771,
PSUBNK BEES ,304.38,304.38,304.38,304.38,304.38,292.73,1,2499,760645,
GRADIENTE   ,0.71,0.71,0.71,0.71,0.71,0.7,4,3786,2688,
MADRASFERT  ,19.35,20,18.95,19.3,19.3,19.4,67,8930,172561,
MUKUND CRPS ,6.5,7.99,6.5,7.47,7.99,6.7,6,33,217,
ILFS1606PFA ,4612.5,4613,4612.5,4613,4613,5760,2,4,18450,
895LTFHL21  ,104.5,104.5,104.49,104.5,104.5,104.4,18,24000,2507975,
JSW NCPS    ,6,6,5.89,5.89,5.89,5.9,10,2800,16572,
ZEE NCPS    ,7.69,7.8,7.69,7.72,7.79,7.7,19,1232000,9571295,
SGB20151    ,3200,3200,3200,3200,3200,3159.5,1,1,3200,
SGBAUG24    ,3101,3125,3082.22,3087.69,3090,3100,21,190,587190,
SGB2016IIIA ,3095,3099,3090,3099,3099,3099.9,7,100,309523,
SGB2016IV   ,3110,3110,3100,3100,3100,3081,6,132,409790,
SGBJULY25   ,3075,3080,3075,3080,3080,3042,2,20,61550,
SGBNOV25    ,3100,3100,3100,3100,3100,3002,1,10,31000,
TATASTEELPP ,36.7,40.25,36.7,40.15,40.15,36.6,1280,342283,13517302,
LTFINNCDIV  ,1021.17,1040,1021.17,1040,1040,1040,2,10,10305,
IIFLHFL202  ,1015.47,1017,1015.47,1016.4,1016.4,1035,4,110,111760,
12ECL20II   ,1065,1065,1065,1065,1065,1084.99,2,25,26625,
0MFL20L     ,1717.98,1717.98,1717.98,1717.98,1717.98,1660.01,1,86,147746,
10STFC19    ,1077,1077,1077,1077,1077,1059.7,1,10,10770,
0STFC2019   ,1621,1621,1621,1621,1621,1621,2,100,162100,
0MFL2021K   ,1660,1685,1660,1660,1660,1675,5,35,58350,
12MFL20D    ,1021,1021,1021,1021,1021,1040,3,20,20420,
0IFCI19B    ,1450,1450,1450,1450,1450,1420.35,1,6,8700,
940IFCI19C  ,980.18,980.18,980.18,980.18,980.18,999,2,48,47048,
990IFCI24F  ,1000,1000,1000,1000,1000,1005,1,250,250000,
1015ECL20   ,1009,1009,1005,1005,1005,1009,2,25,25205,
1060ECL20   ,1055,1075,1055,1075,1075,1099,2,30,31850,
0ECL20      ,1470,1548.9,1470,1475,1475,1470,6,140,210784,
849NTPC25   ,13.44,13.5,13.44,13.48,13.48,13.5,24,8959,120698,
1075SREI20  ,1050,1050,1050,1050,1050,1045,2,19,19950,
736PFC25    ,1066.3,1094,1066.3,1094,1094,1066.6,6,148,159297,
752PFC30    ,1085.76,1096.1,1085,1096.1,1096.1,1188,4,84,91600,
715REC35    ,1110,1110,1101,1101.67,1101,1115,2,27,29745,
732IRFC25   ,1061.01,1079.3,1061,1079.3,1079.3,1065,4,106,113306,
739NHAI26   ,1120,1120,1120,1120,1120,1116.02,1,20,22400,
735NHAI31   ,1154,1154,1154,1154,1154,1140,1,1000,1154000,
76NHAI31    ,1159,1160,1159,1159.83,1160,1158,12,2525,2928112,
753IREDA26  ,1050.1,1055.7,1048.1,1050.65,1048.1,1050.1,9,2082,2186741,
774IREDA31  ,1090.3,1104.9,1090.3,1104.9,1104.9,1094.3,4,437,480386,
727HUDCO26  ,1042,1042,1033,1037.1,1037.1,1042,9,999,1035946,
764HUDCO31  ,1093,1105,1093,1104.11,1105,1093,6,1780,1954208,
729NHAI26   ,1070,1070,1057,1057,1057,1090,2,301,318170,
769NHAI31   ,1130,1130,1130,1130,1130,1119.06,1,40,45200,
769HUDCO31  ,1116,1116,1112,1115,1115,1121,5,45,50145,
764IRFC31   ,1118,1120,1118,1120,1120,1118,10,2400,2687962,
764NABARD31 ,1166,1166,1166,1166,1166,1165,1,1000,1166000,
9MMFSL26    ,1037,1037.9,1033,1035,1035,1040,16,1340,1387181,
0KFL22A     ,1225,1230,1225,1230,1230,1250,4,270,331425,
893DHFL26B  ,712,712,712,712,712,694.1,1,50,35600,
920DHFL19B  ,920,920,911.01,911.01,911.01,950,2,68,62173,
925DHFL21B  ,760,799,755,785,771,749.9,9,173,131429,
910DHFL19B  ,910.11,910.11,910.11,910.11,910.11,909,1,10,9101,
925DHFL23B  ,723,730,723,725.17,730,712.14,2,29,21030,
10SIFL21    ,975,975,970,973.33,970,949.32,2,15,14600,
89RHFL20B   ,841,841,841,841,841,890,1,10,8410,
905RHFL22B  ,720,720,720,720,720,719.76,2,51,36720,
915RHFL27B  ,694,694,680,680,680,720,17,310,210940,
912SEFL20B  ,975,975,975,975,975,980,1,1,975,
935SEFL22B  ,940,940,897,897,897,916,4,84,76380,
9MFL20A     ,1003.43,1003.43,1003.43,1003.43,1003.43,1001.65,40,2930,2940049,
10KFL20     ,985,985,985,985,985,960,1,75,73875,
925SIFL20   ,1000,1000,1000,1000,1000,1000,1,30,30000,
900MFL22A   ,1021,1021.2,1021,1021.08,1021.2,1019,2,130,132740,
925SEFL22   ,948,948,944,944,944,910,5,114,107728,
950SEFL27   ,905,940,905,922.5,940,900,4,100,92250,
0KFL21C     ,1045,1045,1045,1045,1045,1075,1,200,209000,
925KFL19A   ,992,992,992,992,992,992,1,2,1984,
0SIFL19A    ,1070,1070,1070,1070,1070,1073,1,1,1070,
0SIFL23     ,920,920,920,920,920,900,1,10,9200,
888ERFL28   ,842.1,890,841.8,890,890,855.2,4,82,71422,
875MFL23    ,942.1,944.03,930.13,944.03,944.03,966.5,3,21,19558,
9MFL23      ,1020.5,1020.65,1020,1020.6,1020.6,1020.5,10,20250,20663280,
9SEFL23A    ,907,907,907,907,907,911.54,2,35,31745,
92SEFL28    ,929,929,929,929,929,931,1,1,929,
89DHFL21    ,799.98,799.98,760,760.16,775,770.98,9,163,124034,
856DHFL21   ,838.99,838.99,838.99,838.99,838.99,768,1,3,2516,
9DHFL23     ,700,700,700,700,700,695,3,30,21000,
95JMFCSL23  ,995,995,980,987.2,980,1003,3,125,123400,
975JMFCSL28 ,980.1,980.1,975.1,977.03,975.1,975.1,4,162,158279,
893STFCL23  ,970,970,956,956.92,969.99,950.5,14,1038,993619,
91STFCL21   ,1038,1039,1038,1038.5,1039,1022.1,2,2,2077,
0EFL21      ,1007,1007,1006,1006,1006,999,2,100,100650,
945EFL21    ,1007,1007,1006,1006,1006,1007,2,100,100650,
943EFL28    ,921,943,921,941.27,940,943.5,4,52,48419,
985EFL28    ,960.1,960.1,960,960,960,965,2,75,72002,
884ICCL28   ,900,900,900,900,900,910,1,10,9000,
880TCFSL21  ,1031,1035,1031,1035,1035,1030,4,165,170492,
890TCFSL23  ,1036.1,1037.5,1036,1037.18,1037,1036.1,9,1026,1064117,
10KFL21     ,995,995,995,995,995,995,1,5,4975,
96AHFL21    ,950.01,950.01,950,950,950,950,3,80,76000,
925AHFL23   ,850,850,800,800,800,989,5,200,160369,
965AHFL23   ,925,925,845,845,845,937,2,36,32820,
935AHFL28   ,950,950,950,950,950,957.25,1,10,9500,
930STFCL28  ,990,990,990,990,990,1000,1,7,6930,
STFCL21118  ,1000,1001,1000,1001,1001,996,3,65,65050,
STFCL21118A ,1000,1000,1000,1000,1000,1001,2,60,60000,
MFL29NOV18  ,991.18,995,991.02,991.29,991.27,1000,17,515,510561,
96MFL21     ,995,995,995,995,995,995,1,10,9950,
10MFL23     ,998.1,1001,988,991.47,995,1010,58,757,751842,
985MFL20    ,973.01,976,961.01,964.42,962,971.06,5,110,106172,
10MFL21A    ,990,990,990,990,990,983.79,1,10,9900,
MFL29NOV18A ,1005,1005,1005,1005,1005,1011,1,50,50250,
MFL29NOV18D ,975,1010,975,1010,1010,990.01,15,431,427085,
10JMFCSL22  ,974.4,974.4,900,900,900,990,2,100,91860,
967JMFCSL23 ,990,990,990,990,990,985,2,254,251460,
981JMFCSL28 ,995.5,995.5,995.5,995.5,995.5,995.5,4,75,74662,
1020EFL22   ,1005,1005,1000,1000,1000,1002,4,228,228971,
EFL4JAN19   ,975,1000,970,1000,1000,976,6,75,73590,
905MMFSL22  ,1005.08,1024.97,1005.08,1023.99,1023.99,1019,3,30,30440,
915MMFSL24  ,1020,1021,1020,1021,1021,1019,2,200,204100,
93MMFSL27   ,1006,1007,1004.25,1005.98,1005.95,1006.45,51,9292,9345582,
95MMFSL29   ,1004,1004.5,1003.5,1003.5,1003.5,1001,11,1155,1159662,
1020IIFL24  ,994.75,994.75,994.75,994.75,994.75,994.6,6,75,74606,
ECLF7J505B  ,146390,146390,146390,146390,146390,146000,3,25,3659750,
921PNBPER   ,1044993.49,1044993.49,1044993.49,1044993.49,1044993.49,1012981.85,2,2,2089986,
975UPPCL26  ,964000,964000,964000,964000,964000,965000,1,1,964000,
RSL17DEC18  ,101000,101000,101000,101000,101000,100500,1,10,1010000,
RFL31JAN19  ,102000,102000,102000,102000,102000,102000,1,10,1020000,
IDFCFBLD1B  ,9080,9080,9080,9080,9080,9098,1,1,9080,
IDFCFBLD1E  ,4825,4825,4806,4806,4806,4815,2,7,33718,
IDFCFBLD1F  ,8840,8840,8840,8840,8840,8850,1,4,35360,
SBIBIVR     ,11615,11625,11615,11616,11616,11620,6,94,1092065,
IIFCLBDIS2  ,1770.06,1770.1,1770.06,1770.1,1770.1,1763,3,40,70803,
PFCBS1      ,5155.03,5155.03,5155.03,5155.03,5155.03,5175,1,4,20620,
PFCBS2      ,9039.01,9150,9037.1,9150,9150,9100.05,13,32,289800,
PFCBS4      ,8660,9334,8660,9280.85,9324,8662,7,58,535806,
PFCBT1S2    ,8700,8700,8700,8700,8700,8702.01,2,5,43500,
PFCBT1S4    ,8322.06,8322.06,8322.06,8322.06,8322.06,8321.06,1,4,33288,
LTINF90122I ,980,985,980,985,985,986.5,5,75,73605,
LTINF9122II ,1780.1,1782,1780.1,1782,1782,1780.25,14,246,438057,
820NHAI22   ,1080,1081.2,1079,1080.26,1081.2,1079,15,3025,3266987,
830NHAI27   ,1164,1168,1159.51,1167,1167,1161,14,551,640821,
820PFC2022  ,1073.35,1073.35,1073.1,1073.1,1073.1,1076,7,1100,1180418,
8IRFC230222 ,1075.05,1080,1074,1075,1075,1080,22,1355,1457622,
810IRFC2327 ,1160,1160,1160,1160,1160,1150,1,200,232000,
870LNT22A   ,1027.15,1028.25,1027.15,1028.25,1028.25,1040.09,3,25,25700,
870LNT22B   ,1695,1705,1695,1700.54,1705,1698.01,27,470,798266,
890SREI17B  ,1630.55,1632,1630.55,1632,1632,1636.85,2,79,128912,
915SREI17B  ,1450,1450,1450,1450,1450,1472,1,20,29000,
812REC27    ,1155.4,1155.4,1155.4,1155.4,1155.4,1170.1,1,200,231080,
719PFC2023  ,1031.83,1031.83,1031.01,1031.01,1031.01,1027.01,2,600,618606,
736PFC2028  ,1071.1,1071.1,1071,1071,1071,1056.2,2,500,535510,
719IIFCL23  ,1028.06,1030,1028,1030,1030,1039,4,610,627104,
740IIFCL33  ,1115,1115,1115,1115,1115,1115,2,891,993465,
718IRFC2023 ,1048.19,1050,1048.01,1050,1050,1046.2,3,10,10490,
688IRFC2023 ,1037.14,1040,1036.1,1040,1040,1061.11,3,11,11402,
734HUDCO23  ,1029.33,1035,1029,1030.56,1030.25,1060,7,29,29871,
751HUDCO28  ,1070.25,1070.45,1070.25,1070.35,1070.45,1068,2,200,214070,
686IIFCL23  ,1090,1090,1090,1090,1090,1056,1,55,59950,
688PFC2023  ,1074.94,1080,1074.01,1080,1080,1070.63,7,131,140831,
846REC28    ,1156,1156,1156,1156,1156,1235,1,50,57800,
826REC23    ,1099,1099.7,1099,1099.7,1099.7,1099.8,3,270,296903,
871REC28    ,1176.2,1176.2,1172,1172,1172,1176.08,4,285,334260,
839HUDCO23  ,1100.25,1112.99,1100.15,1112.99,1112.99,1101.01,3,800,882738,
876HUDCO28  ,1191,1191,1187,1187,1187,1191,3,30,35710,
879NHPC28   ,1250,1250,1222,1222,1222,1250,2,30,37080,
826IIFCL23  ,1089,1099,1089,1099,1099,1090,3,490,536010,
892PFC33    ,1287.84,1287.84,1261.1,1263.24,1265,1279,16,1123,1417039,
891NTPC33   ,1255,1255,1245,1251.5,1251.5,1255,16,627,782926,
876HUDCO24  ,1163.99,1163.99,1163.99,1163.99,1163.99,1166,1,100,116399,
901HUDCO34  ,1278,1278,1265,1266.3,1266.3,1278,17,705,892350,
873IIFCL29D ,1190,1190,1190,1190,1190,1190,2,289,343910,
891IIFCL34  ,1273.99,1273.99,1273.5,1273.5,1273.5,1272.5,2,2,2547,
875NHAI29   ,1272,1272,1272,1272,1272,1272.8,1,50,63600,
848IRFC24   ,1360.9,1360.9,1160.01,1160.01,1160.01,1136.52,4,555,754295,
841IREDA24  ,1147.31,1147.31,1147.31,1147.31,1147.31,1154,1,10,11473,
861KPL24    ,1160,1165,1160,1165,1165,1143,2,15,17450,
854HUDCO24  ,1100.23,1101.01,1100.23,1101.01,1101.01,1167.99,2,15,16511,
898HUDCO29  ,1209,1209,1200.1,1202.6,1202.6,1230,8,1360,1634362,
819IRFC24   ,1210,1210,1210,1210,1210,1140,5,590,713900,
888IRFC29   ,1280,1280,1279,1279,1279,1280,6,793,1014802,
841IIFCL24B ,1142.1,1154.5,1142.01,1154.5,1154.5,1188.01,6,1000,1148182,
880IIFCL29  ,1280,1288.5,1250,1250,1250,1250.02,17,1036,1296289,
880IIFCL34  ,1305,1309.5,1305,1309.5,1309.5,1307,2,75,97987,
NABARD31039 ,19600,19600,19600,19600,19600,19900,1,5,98000,
IFCI150910B ,9255.75,9255.75,9255.75,9255.75,9255.75,9250,1,1,9255,
IFCI310111A ,4860,4866,4860,4866,4866,4867,2,5,24312,
IFCI310111B ,9052,9063,9010.79,9063,9063,9052.02,21,39,353132,
IFCI310111C ,4725,4725,4725,4725,4725,4676.1,1,4,18900,
IFCI311011C ,10200,10200,10200,10200,10200,10200,1,10,102000,
IFCI121211A ,8502,8504.11,8502,8504.11,8504.11,8500.01,2,8,68024,
IFCI150212A ,8855,8860,8847,8852,8852,8847.89,16,87,770370,
IFCI150212B ,4905,4905,4903,4903,4903,4900,3,6,29426,
IFCI310312A ,8475,8485,8450.01,8460,8460,8465,7,8,67740,
IFCI310312B ,5170,5170,5055.2,5131.73,5055.2,5150,3,6,30790,
IFCI310312D ,4926,4926,4926,4926,4926,4927,1,2,9852,
893PTCIF22A ,8820.58,8851,8820.58,8851,8851,8820.58,3,9,79536,
