SC_CODE,SC_GROUP,SC_TYPE,ISIN_CODE,TRADING_DATE
500330,A ,Q,INE301A01014,20-Feb-19
500331,A ,Q,INE318A01026,20-Feb-19
500333,X ,Q,INE751B01018,20-Feb-19
500335,A ,Q,INE340A01012,20-Feb-19
500336,B ,Q,INE335A01012,20-Feb-19
500337,B ,Q,INE032B01021,20-Feb-19
500338,B ,Q,INE010A01011,20-Feb-19
500339,B ,Q,INE855B01025,20-Feb-19
500343,B ,Q,INE606A01024,20-Feb-19
500346,B ,Q,INE609A01010,20-Feb-19
500350,B ,Q,INE611A01016,20-Feb-19
500354,B ,Q,INE562B01019,20-Feb-19
500355,A ,Q,INE613A01020,20-Feb-19
500356,B ,Q,INE278B01020,20-Feb-19
500357,XT,Q,INE425E01013,20-Feb-19
500360,X ,Q,INE350D01015,20-Feb-19
500365,X ,Q,INE731F01037,20-Feb-19
500366,B ,Q,INE293A01013,20-Feb-19
500367,X ,Q,INE642C01025,20-Feb-19
500368,T ,Q,INE619A01027,20-Feb-19
500378,A ,Q,INE324A01024,20-Feb-19
500380,A ,Q,INE786A01032,20-Feb-19
500387,A ,Q,INE070A01015,20-Feb-19
500390,A ,Q,INE036A01016,20-Feb-19
500399,XT,Q,INE629B01024,20-Feb-19
500400,A ,Q,INE245A01021,20-Feb-19
500402,B ,Q,INE937A01023,20-Feb-19
500403,A ,Q,INE387A01021,20-Feb-19
500404,B ,Q,INE947A01014,20-Feb-19
500405,B ,Q,INE663A01017,20-Feb-19
500407,B ,Q,INE277A01016,20-Feb-19
500408,A ,Q,INE670A01012,20-Feb-19
500410,A ,Q,INE012A01025,20-Feb-19
500411,A ,Q,INE152A01029,20-Feb-19
500412,B ,Q,INE338A01024,20-Feb-19
500413,A ,Q,INE332A01027,20-Feb-19
500414,X ,Q,INE064A01026,20-Feb-19
500418,B ,Q,INE932C01012,20-Feb-19
500420,A ,Q,INE685A01028,20-Feb-19
500422,X ,Q,INE019B01010,20-Feb-19
500425,A ,Q,INE079A01024,20-Feb-19
500426,XT,Q,INE184E01024,20-Feb-19
500429,B ,Q,INE037A01022,20-Feb-19
500439,B ,Q,INE701A01023,20-Feb-19
500440,A ,Q,INE038A01020,20-Feb-19
500444,B ,Q,INE976A01021,20-Feb-19
500449,T ,Q,INE048A01011,20-Feb-19
500450,X ,Q,INE844C01027,20-Feb-19
